"UI label","Full setting path","Scope","UI type","Backend type","Canonical backend field","Persistent file/store","Apply phase","Android support","Validation method","Current value","Default","Variants","Min","Max"
"Hook Directory","Video@@Vulkan@@Custom Driver@@Hook Directory","Global + per-game","hidden","string","Video@@Vulkan@@Custom Driver@@Hook Directory","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","","","","",""
"Turbo Mode","Video@@Vulkan@@Custom Driver@@Turbo Mode","Global + per-game","bool","bool","Video@@Vulkan@@Custom Driver@@Turbo Mode","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"No Primitive Restart","Video@@Vulkan@@Workarounds@@No Primitive Restart","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@No Primitive Restart","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Sanitize FP Values","Video@@Vulkan@@Workarounds@@Sanitize FP Values","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@Sanitize FP Values","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Disable Fence Reset","Video@@Vulkan@@Workarounds@@Disable Fence Reset","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@Disable Fence Reset","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Emulate Cond Render","Video@@Vulkan@@Workarounds@@Emulate Cond Render","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@Emulate Cond Render","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Strict Query Scopes","Video@@Vulkan@@Workarounds@@Strict Query Scopes","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@Strict Query Scopes","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Force Reuse Query Pools","Video@@Vulkan@@Workarounds@@Force Reuse Query Pools","Global + per-game","bool","bool","Video@@Vulkan@@Workarounds@@Force Reuse Query Pools","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enabled","Video@@Performance Overlay@@Enabled","Global + per-game","bool","bool","Video@@Performance Overlay@@Enabled","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enable Framerate Graph","Video@@Performance Overlay@@Enable Framerate Graph","Global + per-game","bool","bool","Video@@Performance Overlay@@Enable Framerate Graph","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Enable Frametime Graph","Video@@Performance Overlay@@Enable Frametime Graph","Global + per-game","bool","bool","Video@@Performance Overlay@@Enable Frametime Graph","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Framerate datapoints","Video@@Performance Overlay@@Framerate datapoints","Global + per-game","uint","uint","Video@@Performance Overlay@@Framerate datapoints","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","50","50","","2","6000"
"Frametime datapoints","Video@@Performance Overlay@@Frametime datapoints","Global + per-game","uint","uint","Video@@Performance Overlay@@Frametime datapoints","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","170","170","","2","6000"
"Detail level","Video@@Performance Overlay@@Detail level","Global + per-game","enum","enum","Video@@Performance Overlay@@Detail level","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Medium","Medium","None|Minimal|Low|Medium|High","",""
"Framerate graph detail level","Video@@Performance Overlay@@Framerate graph detail level","Global + per-game","enum","enum","Video@@Performance Overlay@@Framerate graph detail level","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","All","All","Minimal|Show min and max|Show 1% and average|All","",""
"Frametime graph detail level","Video@@Performance Overlay@@Frametime graph detail level","Global + per-game","enum","enum","Video@@Performance Overlay@@Frametime graph detail level","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","All","All","Minimal|Show min and max|Show 1% and average|All","",""
"Metrics update interval (ms)","Video@@Performance Overlay@@Metrics update interval (ms)","Global + per-game","uint","uint","Video@@Performance Overlay@@Metrics update interval (ms)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","350","350","","1","1000"
"Font size (px)","Video@@Performance Overlay@@Font size (px)","Global + per-game","uint","uint","Video@@Performance Overlay@@Font size (px)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","10","10","","4","36"
"Position","Video@@Performance Overlay@@Position","Global + per-game","enum","enum","Video@@Performance Overlay@@Position","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Top Left","Top Left","Top Left|Top Right|Bottom Left|Bottom Right","",""
"Font","Video@@Performance Overlay@@Font","Global + per-game","hidden","string","Video@@Performance Overlay@@Font","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","n023055ms.ttf","n023055ms.ttf","","",""
"Horizontal Margin (px)","Video@@Performance Overlay@@Horizontal Margin (px)","Global + per-game","uint","uint","Video@@Performance Overlay@@Horizontal Margin (px)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","50","50","","0","1280"
"Vertical Margin (px)","Video@@Performance Overlay@@Vertical Margin (px)","Global + per-game","uint","uint","Video@@Performance Overlay@@Vertical Margin (px)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","50","50","","0","720"
"Center Horizontally","Video@@Performance Overlay@@Center Horizontally","Global + per-game","bool","bool","Video@@Performance Overlay@@Center Horizontally","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Center Vertically","Video@@Performance Overlay@@Center Vertically","Global + per-game","bool","bool","Video@@Performance Overlay@@Center Vertically","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
"Opacity (%)","Video@@Performance Overlay@@Opacity (%)","Global + per-game","uint","uint","Video@@Performance Overlay@@Opacity (%)","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","70","70","","0","100"
"Body Color (hex)","Video@@Performance Overlay@@Body Color (hex)","Global + per-game","hidden","string","Video@@Performance Overlay@@Body Color (hex)","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","#FFE138FF","#FFE138FF","","",""
"Body Background (hex)","Video@@Performance Overlay@@Body Background (hex)","Global + per-game","hidden","string","Video@@Performance Overlay@@Body Background (hex)","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","#002339FF","#002339FF","","",""
"Title Color (hex)","Video@@Performance Overlay@@Title Color (hex)","Global + per-game","hidden","string","Video@@Performance Overlay@@Title Color (hex)","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","#F26C24FF","#F26C24FF","","",""
"Title Background (hex)","Video@@Performance Overlay@@Title Background (hex)","Global + per-game","hidden","string","Video@@Performance Overlay@@Title Background (hex)","config.yml / custom_configs/config_<TITLE_ID>.yml","UNSUPPORTED","hidden: unsupported JSON type","Pad2 tree audit; no generic editor","#00000000","#00000000","","",""
"Allow custom background","Video@@Shader Loading Dialog@@Allow custom background","Global + per-game","bool","bool","Video@@Shader Loading Dialog@@Allow custom background","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","true","true","","",""
"Darkening effect strength","Video@@Shader Loading Dialog@@Darkening effect strength","Global + per-game","uint","uint","Video@@Shader Loading Dialog@@Darkening effect strength","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","30","30","","0","100"
"Blur effect strength","Video@@Shader Loading Dialog@@Blur effect strength","Global + per-game","uint","uint","Video@@Shader Loading Dialog@@Blur effect strength","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","0","0","","0","100"
"Renderer","Audio@@Renderer","Global + per-game","enum","enum","Audio@@Renderer","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","Cubeb","Cubeb","Null|Cubeb","",""
"Audio Provider","Audio@@Audio Provider","Global + per-game","enum","enum","Audio@@Audio Provider","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","CellAudio","CellAudio","None|CellAudio|RSXAudio","",""
"RSXAudio Avport","Audio@@RSXAudio Avport","Global + per-game","enum","enum","Audio@@RSXAudio Avport","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","HDMI 0","HDMI 0","HDMI 0|HDMI 1|AV multiout|SPDIF 0|SPDIF 1","",""
"Dump to file","Audio@@Dump to file","Global + per-game","bool","bool","Audio@@Dump to file","config.yml / custom_configs/config_<TITLE_ID>.yml","NEXT_EMULATION_BOOT","supported","Pad2 tree/type + native read-back","false","false","","",""
