09-02 22:29:52.559 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 7 of 32 (2m remaining))
09-02 22:29:52.560 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 7 of 32 (2m remaining) percent=21 max=100 session=S3-1788367015251-6524
09-02 22:29:57.839 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 8 of 32 (2m remaining))
09-02 22:29:57.841 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 8 of 32 (2m remaining) percent=25 max=100 session=S3-1788367015251-6524
09-02 22:30:03.309 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 9 of 32 (2m remaining))
09-02 22:30:03.310 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 9 of 32 (2m remaining) percent=28 max=100 session=S3-1788367015251-6524
09-02 22:30:09.149 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 10 of 32 (2m remaining))
09-02 22:30:09.150 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 10 of 32 (2m remaining) percent=31 max=100 session=S3-1788367015251-6524
09-02 22:30:15.089 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 11 of 32 (2m remaining))
09-02 22:30:15.093 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 11 of 32 (2m remaining) percent=34 max=100 session=S3-1788367015251-6524
09-02 22:30:20.959 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 12 of 32 (2m remaining))
09-02 22:30:20.960 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 12 of 32 (2m remaining) percent=37 max=100 session=S3-1788367015251-6524
09-02 22:30:26.919 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 13 of 32 (1m 54s remaining))
09-02 22:30:26.931 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 13 of 32 (1m 54s remain percent=40 max=100 session=S3-1788367015251-6524
09-02 22:30:32.769 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 14 of 32 (1m 48s remaining))
09-02 22:30:32.784 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 14 of 32 (1m 48s remain percent=43 max=100 session=S3-1788367015251-6524
09-02 22:30:38.629 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 15 of 32 (1m 42s remaining))
09-02 22:30:38.634 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 15 of 32 (1m 42s remain percent=46 max=100 session=S3-1788367015251-6524
09-02 22:30:44.489 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 16 of 32 (1m 35s remaining))
